planet,longitude_deg,distance_au
Mercury,242.9244,0.4629014
Venus,57.21809,0.7219913
Earth,189.14791,0.9985983
Mars,338.57618,1.3814807
Jupiter,116.22332,5.2409671
Saturn,4.59792,9.489908
Uranus,60.54681,19.4681716
Neptune,1.51993,29.880806
Pluto,303.35613,35.4860195
